iter	Passed	Remaining
567	3982	17050
568	3989	17045
569	3995	17035
570	4002	17024
571	4008	17015
572	4014	17003
573	4020	16994
574	4027	16985
575	4033	16975
576	4040	16966
577	4046	16956
578	4054	16951
579	4060	16940
580	4066	16931
581	4073	16922
582	4078	16909
583	4085	16903
584	4091	16891
585	4098	16882
586	4105	16874
587	4110	16862
588	4117	16854
589	4123	16843
590	4129	16832
591	4136	16827
592	4143	16818
593	4151	16814
594	4157	16803
595	4163	16794
596	4170	16785
597	4176	16775
598	4183	16767
599	4188	16754
600	4195	16745
601	4201	16737
602	4208	16727
603	4214	16719
604	4220	16709
605	4227	16699
606	4234	16693
607	4239	16679
608	4247	16675
609	4253	16666
610	4259	16655
611	4266	16647
612	4272	16637
613	4279	16631
614	4285	16620
615	4293	16615
616	4299	16605
617	4305	16593
618	4312	16589
619	4318	16578
620	4324	16567
621	4331	16560
622	4340	16561
623	4348	16558
624	4354	16548
625	4361	16541
626	4367	16529
627	4373	16519
628	4381	16514
629	4387	16506
630	4395	16501
631	4401	16490
632	4407	16481
633	4414	16475
634	4422	16470
635	4431	16470
636	4441	16474
637	4450	16476
638	4458	16471
639	4466	16469
640	4473	16464
641	4481	16458
642	4487	16451
643	4495	16445
644	4501	16434
645	4508	16430
646	4515	16421
647	4522	16416
648	4530	16411
649	4536	16400
650	4543	16393
651	4549	16385
652	4557	16379
653	4563	16371
654	4569	16360
655	4577	16354
656	4583	16345
657	4590	16338
658	4596	16327
659	4602	16316
660	4608	16308
661	4615	16299
662	4622	16293
663	4629	16288
664	4637	16284
665	4644	16276
666	4652	16271
667	4659	16266
668	4666	16259
669	4673	16253
670	4680	16246
671	4688	16242
672	4694	16232
673	4702	16227
674	4709	16219
675	4715	16211
676	4723	16207
677	4730	16200
678	4737	16193
679	4743	16184
680	4749	16173
681	4756	16167
682	4762	16156
683	4772	16161
684	4779	16152
685	4786	16146
686	4793	16137
687	4799	16128
688	4806	16121
689	4812	16110
690	4819	16103
691	4825	16093
692	4831	16084
693	4837	16075
694	4844	16067
695	4851	16061
696	4858	16054
697	4865	16047
698	4872	16040
699	4880	16035
700	4888	16031
701	4894	16022
702	4902	16020
703	4910	16013
704	4917	16007
705	4924	16001
706	4932	15996
707	4938	15987
708	4946	15983
709	4955	15982
710	4962	15976
711	4969	15969
712	4974	15956
713	4981	15949
714	4987	15939
715	4994	15931
716	5001	15926
717	5008	15919
718	5016	15915
719	5023	15907
720	5031	15902
721	5037	15892
722	5042	15881
723	5052	15881
724	5059	15876
725	5067	15872
726	5074	15865
727	5081	15859
728	5088	15850
729	5095	15845
730	5103	15840
731	5109	15832
732	5117	15826
733	5124	15820
734	5131	15813
735	5139	15808
736	5146	15802
737	5152	15793
738	5160	15787
739	5167	15781
740	5173	15771
741	5181	15767
742	5188	15760
743	5196	15756
744	5202	15747
745	5209	15740
746	5216	15732
747	5222	15724
748	5230	15719
749	5238	15715
750	5245	15708
751	5251	15699
752	5261	15699
753	5268	15693
754	5276	15689
755	5283	15682
756	5289	15671
757	5296	15665
758	5301	15653
759	5308	15646
760	5314	15637
761	5320	15626
762	5327	15618
763	5333	15609
764	5338	15598
765	5346	15593
766	5352	15584
767	5359	15574
768	5365	15567
769	5372	15557
770	5379	15551
771	5384	15540
772	5392	15536
773	5398	15527
774	5409	15529
775	5418	15527
776	5425	15523
777	5431	15513
778	5440	15511
779	5446	15501
780	5452	15492
781	5459	15485
782	5465	15474
783	5499	15545
784	5518	15570
785	5527	15570
786	5537	15571
787	5593	15701
788	5601	15697
789	5616	15711
790	5627	15714
791	5636	15714
792	5644	15709
793	5651	15702
794	5657	15690
795	5664	15684
796	5671	15675
797	5676	15664
798	5683	15655
799	5689	15646
800	5696	15638
801	5702	15628
802	5714	15634
803	5720	15623
804	5725	15612
805	5733	15605
806	5739	15595
807	5747	15591
808	5753	15582
809	5760	15573
810	5766	15563
811	5772	15554
812	5779	15546
813	5785	15538
814	5792	15528
815	5798	15519
816	5804	15509
817	5811	15502
818	5817	15492
819	5823	15481
820	5829	15471
821	5835	15462
822	5843	15456
823	5850	15450
824	5856	15440
825	5863	15432
826	5869	15421
827	5875	15411
828	5881	15402
829	5887	15393
830	5895	15387
831	5901	15377
832	5907	15368
833	5914	15360
834	5920	15350
835	5927	15344
836	5935	15338
837	5942	15332
838	5950	15326
839	5956	15316
840	5963	15308
841	5968	15298
842	5976	15292
843	5982	15282
844	5988	15272
845	5995	15265
846	6002	15256
847	6009	15250
848	6015	15240
849	6022	15233
850	6028	15224
851	6034	15214
852	6042	15208
853	6049	15201
854	6056	15195
855	6063	15185
856	6070	15180
857	6076	15171
858	6103	15212
859	6116	15219
860	6126	15221
861	6134	15214
862	6142	15210
863	6148	15200
864	6155	15193
865	6162	15186
866	6169	15177
867	6176	15170
868	6182	15160
869	6189	15152
870	6195	15143
871	6202	15136
872	6209	15129
873	6215	15119
874	6223	15114
875	6231	15108
876	6239	15105
877	6246	15097
878	6255	15093
879	6260	15083
880	6268	15078
881	6276	15070
882	6284	15067
883	6292	15061
884	6299	15054
885	6307	15049
886	6314	15042
887	6322	15038
888	6330	15032
889	6339	15029
890	6346	15022
891	6354	15017
892	6360	15007
893	6369	15003
894	6375	14995
895	6384	14992
896	6392	14986
897	6399	14980
898	6406	14971
899	6413	14965
900	6420	14958
901	6427	14951
902	6435	14944
903	6441	14934
904	6448	14928
905	6455	14920
906	6463	14914
907	6470	14908
908	6476	14898
909	6483	14890
910	6490	14883
911	6499	14879
912	6506	14873
913	6512	14864
914	6521	14859
915	6529	14856
916	6539	14855
917	6548	14852
918	6556	14846
919	6564	14840
920	6571	14834
921	6579	14828
922	6585	14820
923	6591	14810
924	6598	14802
925	6604	14792
926	6611	14785
927	6617	14775
928	6623	14765
929	6630	14758
930	6637	14750
931	6647	14750
932	6660	14754
933	6668	14749
934	6684	14762
935	6695	14763
936	6703	14759
937	6710	14752
938	6719	14748
939	6728	14746
940	6735	14737
941	6745	14738
942	6753	14730
943	6760	14723
944	6765	14713
945	6773	14706
946	6781	14701
947	6788	14693
948	6795	14686
949	6801	14677
950	6809	14670
951	6815	14661
952	6821	14651
953	6828	14644
954	6834	14634
955	6841	14627
956	6849	14621
957	6855	14612
958	6861	14602
959	6866	14592
960	6875	14587
961	6881	14577
962	6888	14570
963	6895	14563
964	6901	14554
965	6909	14547
966	6915	14538
967	6922	14531
968	6928	14522
969	6934	14512
970	6941	14504
971	6947	14495
972	6954	14487
973	6960	14478
974	6966	14469
975	6974	14464
976	6981	14455
977	6989	14450
978	6995	14441
979	7001	14431
980	7007	14422
981	7013	14413
982	7021	14406
983	7026	14395
984	7033	14387
985	7040	14380
986	7046	14371
987	7053	14364
988	7059	14355
989	7065	14345
990	7072	14338
991	7078	14327
992	7085	14321
993	7092	14313
994	7099	14306
995	7107	14300
996	7114	14293
997	7122	14287
998	7128	14277
999	7136	14273
1000	7143	14264
1001	7151	14260
1002	7158	14253
1003	7165	14245
1004	7173	14239
1005	7179	14230
1006	7187	14224
1007	7193	14216
1008	7200	14209
1009	7206	14198
1010	7212	14189
1011	7219	14182
1012	7225	14173
1013	7233	14166
1014	7240	14160
1015	7247	14153
1016	7254	14145
1017	7260	14135
1018	7268	14129
1019	7274	14120
1020	7282	14114
1021	7288	14107
1022	7296	14100
1023	7304	14095
1024	7313	14091
1025	7321	14086
1026	7327	14077
1027	7334	14069
1028	7340	14061
1029	7348	14054
1030	7354	14046
1031	7361	14038
1032	7368	14031
1033	7377	14026
1034	7385	14022
1035	7391	14013
1036	7400	14008
1037	7410	14006
1038	7417	13999
1039	7423	13991
1040	7431	13984
1041	7436	13974
1042	7444	13969
1043	7453	13964
1044	7462	13961
1045	7472	13958
1046	7483	13958
1047	7491	13953
1048	7501	13951
